firstname,lastname,email,phone,lifecyclestage,hs_lead_status,deal_stage,unsubscribed_from_all_email,hs_email_open,hs_email_click,hs_analytics_last_visit_timestamp,zoho_last_open_date,zoho_lead_status,zoho_id,daysmart_id,master_id,last_appointment_date,daysmart_status,lifetime_value,total_appointments,loyalty_points,primary_service,zerobounce_status,zerobounce_score,email_verification_status,service_interests,data_rule_applied,source_system,record_type,import_date
Nicole,Conner,jeremy49@example.net,(758) 586-1888,customer,New,,False,0,0,2024-01-18,2024-01-18,,,DS-201695,DS-201695,2021-04-08,LIVE,3633.57,49,1156,Facial,unknown,4,Valid,Facial; Healthcare,Pass,DaySmart,DaySmart Only,2026-04-14
Nathan,Crawford,stevensjeffrey@example.com,(656) 007-6228,customer,New,,False,0,0,2024-03-13,2024-03-13,,,DS-201698,DS-201698,2016-05-21,ARCHIVE,649.99,3,1931,Consultation,catch-all,6,Valid,Consultation; Course; Fitness,Pass,DaySmart,DaySmart Only,2026-04-14
Maria,Martinez,michelegordon@example.net,(278) 472-6439,customer,New,,False,0,0,2024-10-31,2024-10-31,,,DS-201699,DS-201699,2018-07-27,ARCHIVE,4158.56,74,382,Highlights,valid,10,Valid,Corporate; Highlights; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Ms.,Monica Lane DVM,rodriguezabigail@example.com,(651) 242-1063,customer,New,,False,0,0,2024-11-08,2024-11-08,,,DS-201701,DS-201701,2022-04-06,LIVE,3018.57,38,1605,Blowout,valid,10,Valid,Blowout; Corporate,Pass,DaySmart,DaySmart Only,2026-04-14
Elizabeth,Page,kristinaking@example.net,(116) 595-5859,customer,New,,True,0,0,2024-02-21,2024-02-21,,,DS-201702,DS-201702,2017-03-26,ARCHIVE,4701.03,78,892,Color Treatment,do_not_mail,1,Valid,Color Treatment; Professional; Retail,Do Not Mail,DaySmart,DaySmart Only,2026-04-14
Alexandria,Shepherd,bwilson@example.org,(111) 391-5480,customer,New,,False,0,0,2024-06-04,2024-06-04,,,DS-201705,DS-201705,2025-06-25,LIVE,3557.33,64,36,Pedicure,valid,10,Valid,Education; Pedicure,Pass,DaySmart,DaySmart Only,2026-04-14
Tina,Cooper,qwalker@example.org,(679) 967-3672,customer,New,,False,0,0,2024-11-14,2024-11-14,,,DS-201707,DS-201707,2025-04-12,LIVE,2437.66,8,1335,Haircut,valid,10,Valid,Haircut; Wellness,Pass,DaySmart,DaySmart Only,2026-04-14
Christopher,Lee,ryanwalker@example.org,(058) 699-7245,customer,New,,False,0,0,2024-12-21,2024-12-21,,,DS-201708,DS-201708,2024-01-28,LIVE,1959.64,54,1912,Facial,valid,10,Valid,Beauty; Corporate; Facial,Pass,DaySmart,DaySmart Only,2026-04-14
Abigail,Burch,aromero@example.net,(888) 610-8597,customer,New,,False,0,0,2024-07-08,2024-07-08,,,DS-201710,DS-201710,2017-05-14,ARCHIVE,3742.71,55,89,Facial,valid,10,Valid,Course; Facial; Fitness,Pass,DaySmart,DaySmart Only,2026-04-14
Shannon,Meyers,maria36@example.com,(470) 263-2767,customer,New,,False,0,0,2024-09-13,2024-09-13,,,DS-201711,DS-201711,2025-05-21,LIVE,372.98,5,881,Haircut,valid,10,Valid,Haircut; Professional; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
James,Wiggins,jill87@example.net,(669) 494-7155,customer,New,,False,0,0,2023-01-10,2023-01-10,,,DS-201712,DS-201712,2012-11-16,ARCHIVE,2817.64,74,670,Highlights,valid,10,Valid,Education; Healthcare; Highlights,Pass,DaySmart,DaySmart Only,2026-04-14
Susan,Boyer,lovedavid@example.org,(537) 729-0848,customer,New,,False,0,0,2025-02-02,2025-02-02,,,DS-201713,DS-201713,2025-05-13,LIVE,4328.72,72,844,Keratin Treatment,valid,10,Valid,Keratin Treatment; Wellness,Pass,DaySmart,DaySmart Only,2026-04-14
Nathan,Martinez,tburke@example.net,(804) 073-7304,customer,New,,False,0,0,2024-05-15,2024-05-15,,,DS-201715,DS-201715,2019-10-17,LIVE,1771.94,6,1149,Pedicure,valid,10,Valid,Course; Pedicure; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Jeffery,Holt,vshields@example.org,(332) 739-9741,customer,New,,False,0,0,2024-04-22,2024-04-22,,,DS-201717,DS-201717,2019-09-05,LIVE,213.81,70,879,Manicure,valid,10,Valid,Hospitality; Manicure; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Susan,Barnett,robertlopez@example.com,(068) 756-7071,customer,New,,False,0,0,2023-02-02,2023-02-02,,,DS-201720,DS-201720,2014-05-31,ARCHIVE,418.71,43,1967,Keratin Treatment,valid,10,Valid,Beauty; Keratin Treatment; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Teresa,Greene,nicoleross@example.org,(391) 237-7459,customer,New,,False,0,0,2025-03-05,2025-03-05,,,DS-201721,DS-201721,2019-02-09,LIVE,2477.05,14,1433,Pedicure,valid,10,Valid,Course; Fitness; Pedicure,Pass,DaySmart,DaySmart Only,2026-04-14
Melissa,Church,tyronemcconnell@example.com,(058) 079-1065,customer,New,,False,0,0,2023-04-25,2023-04-25,,,DS-201722,DS-201722,2011-02-21,ARCHIVE,3898.97,13,1927,Color Treatment,valid,10,Valid,Beauty; Color Treatment,Pass,DaySmart,DaySmart Only,2026-04-14
Melissa,Smith,natalie92@example.com,(280) 903-1788,customer,New,,False,0,0,2023-05-20,2023-05-20,,,DS-201724,DS-201724,2025-12-18,LIVE,3499.19,41,170,Massage,valid,10,Valid,Healthcare; Hospitality; Massage,Pass,DaySmart,DaySmart Only,2026-04-14
Mrs.,Tiffany Patterson,julie84@example.com,(408) 895-9303,customer,New,,False,0,0,2024-04-28,2024-04-28,,,DS-201725,DS-201725,2012-01-17,ARCHIVE,4362.18,73,121,Pedicure,valid,10,Valid,Education; Pedicure,Pass,DaySmart,DaySmart Only,2026-04-14
Samuel,Ross,tanya30@example.com,(991) 540-2732,customer,New,,False,0,0,2024-10-10,2024-10-10,,,DS-201727,DS-201727,2016-08-06,ARCHIVE,2201.55,44,89,Keratin Treatment,valid,10,Valid,Beauty; Keratin Treatment; Wellness,Pass,DaySmart,DaySmart Only,2026-04-14
Cindy,Hansen,adam42@example.org,(182) 068-2048,customer,New,,False,0,0,2023-02-16,2023-02-16,,,DS-201728,DS-201728,2011-06-13,ARCHIVE,3547.32,7,1208,Highlights,valid,10,Valid,Corporate; Highlights,Pass,DaySmart,DaySmart Only,2026-04-14
Walter,Blankenship,kenneth47@example.org,(857) 797-3982,customer,New,,False,0,0,2023-06-11,2023-06-11,,,DS-201729,DS-201729,2010-09-27,ARCHIVE,4849.78,37,1582,Consultation,valid,10,Valid,Consultation; Corporate,Pass,DaySmart,DaySmart Only,2026-04-14
Jason,Rose,rogersmatthew@example.org,(308) 196-9544,customer,New,,False,0,0,2024-05-04,2024-05-04,,,DS-201731,DS-201731,2022-05-13,LIVE,4800.02,44,735,Massage,valid,10,Valid,Hospitality; Massage,Pass,DaySmart,DaySmart Only,2026-04-14
Alexis,Erickson,william49@example.net,(150) 892-4464,customer,New,,False,0,0,2023-01-31,2023-01-31,,,DS-201732,DS-201732,2013-10-26,ARCHIVE,185.62,50,834,Pedicure,valid,10,Valid,Course; Pedicure,Pass,DaySmart,DaySmart Only,2026-04-14
Gary,Willis,rachel27@example.com,(749) 064-1227,customer,New,,False,0,0,2023-07-24,2023-07-24,,,DS-201736,DS-201736,2020-10-20,LIVE,4927.13,64,641,Color Treatment,valid,10,Valid,Beauty; Color Treatment,Pass,DaySmart,DaySmart Only,2026-04-14
Teresa,Montoya,steelejames@example.org,(700) 545-5834,customer,New,,False,0,0,2023-09-22,2023-09-22,,,DS-201737,DS-201737,2020-03-09,LIVE,3146.13,24,1354,Manicure,valid,10,Valid,Hospitality; Manicure,Pass,DaySmart,DaySmart Only,2026-04-14
Tammy,Solis,colemanangela@example.net,(335) 766-8089,customer,New,,False,0,0,2024-01-21,2024-01-21,,,DS-201738,DS-201738,2020-01-26,LIVE,3222.89,74,1827,Haircut,valid,10,Valid,Fitness; Haircut,Pass,DaySmart,DaySmart Only,2026-04-14
Anna,Shaw,carterchristopher@example.org,(557) 852-1979,customer,New,,False,0,0,2024-04-09,2024-04-09,,,DS-201739,DS-201739,2026-02-22,LIVE,89.44,33,1815,Highlights,valid,10,Valid,Course; Highlights; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Anna,Wood,glenmartin@example.com,(009) 333-9637,customer,New,,False,0,0,2024-09-11,2024-09-11,,,DS-201741,DS-201741,2010-12-26,ARCHIVE,854.09,55,95,Keratin Treatment,catch-all,6,Valid,Keratin Treatment; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Paul,Nelson,jocelynstephens@example.com,(812) 426-6474,customer,New,,False,0,0,2023-02-03,2023-02-03,,,DS-201743,DS-201743,2017-10-17,ARCHIVE,4009.74,15,1724,Blowout,valid,10,Valid,Blowout; Fitness,Pass,DaySmart,DaySmart Only,2026-04-14
Deanna,Wong,katiehubbard@example.com,(966) 379-5818,customer,New,,False,0,0,2025-04-21,2025-04-21,,,DS-201744,DS-201744,2010-01-26,ARCHIVE,3242.23,22,1245,Consultation,valid,10,Valid,Consultation; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Douglas,David,lsparks@example.org,(896) 496-6681,customer,New,,False,0,0,2023-04-06,2023-04-06,,,DS-201746,DS-201746,2022-09-23,LIVE,3457.53,41,963,Keratin Treatment,catch-all,6,Valid,Beauty; Keratin Treatment; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Charles,Harrington,johnbarton@example.net,(246) 872-2037,customer,New,,False,0,0,2024-08-11,2024-08-11,,,DS-201747,DS-201747,2019-07-02,LIVE,3832.63,62,1432,Massage,valid,10,Valid,Healthcare; Hospitality; Massage,Pass,DaySmart,DaySmart Only,2026-04-14
Jesus,Garcia,derrick35@example.org,(919) 850-5651,customer,New,,False,0,0,2023-03-17,2023-03-17,,,DS-201751,DS-201751,2020-06-23,LIVE,2894.83,54,1455,Color Treatment,valid,10,Valid,Color Treatment; Hospitality; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Joshua,Garrett,ritawhitaker@example.net,(987) 663-2790,customer,New,,False,0,0,2023-12-12,2023-12-12,,,DS-201752,DS-201752,2026-01-13,LIVE,1399.45,27,1463,Haircut,catch-all,6,Valid,Haircut; Healthcare; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
James,Mora,doyletravis@example.org,(522) 918-4574,customer,New,,False,0,0,2024-10-12,2024-10-12,,,DS-201753,DS-201753,2023-12-03,LIVE,1877.19,14,397,Facial,valid,10,Valid,Corporate; Facial,Pass,DaySmart,DaySmart Only,2026-04-14
Natalie,Diaz,billyjones@example.net,(221) 689-7453,customer,New,,False,0,0,2024-10-24,2024-10-24,,,DS-201755,DS-201755,2012-08-03,ARCHIVE,2001.46,59,1197,Blowout,valid,10,Valid,Blowout; Corporate,Pass,DaySmart,DaySmart Only,2026-04-14
Heather,Goodman,cpierce@example.com,(905) 711-2181,customer,New,,False,0,0,2024-09-24,2024-09-24,,,DS-201758,DS-201758,2018-04-27,ARCHIVE,1971.57,80,308,Color Treatment,valid,10,Valid,Color Treatment; Professional; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Michael,Stephens,maxwellcorey@example.net,(334) 653-3633,customer,New,,False,0,0,2024-08-31,2024-08-31,,,DS-201761,DS-201761,2019-05-29,LIVE,3430.59,51,1238,Consultation,valid,10,Valid,Beauty; Consultation; Education,Pass,DaySmart,DaySmart Only,2026-04-14
Timothy,Welch,efrench@example.org,(868) 010-9360,customer,New,,False,0,0,2023-03-31,2023-03-31,,,DS-201767,DS-201767,2012-02-04,ARCHIVE,1140.07,69,533,Pedicure,valid,10,Valid,Beauty; Fitness; Pedicure,Pass,DaySmart,DaySmart Only,2026-04-14
Kristine,Rodriguez,edwardgomez@example.org,(356) 397-4892,customer,New,,False,0,0,2023-08-09,2023-08-09,,,DS-201770,DS-201770,2021-09-09,LIVE,1977.28,61,1907,Keratin Treatment,valid,10,Valid,Keratin Treatment; Wellness,Pass,DaySmart,DaySmart Only,2026-04-14
Michael,Mcclain,hbowman@example.org,(671) 919-6993,customer,New,,False,0,0,2023-07-04,2023-07-04,,,DS-201773,DS-201773,2024-01-04,LIVE,4353.18,2,565,Massage,valid,10,Valid,Hospitality; Massage; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Joshua,Henry,hgordon@example.org,(826) 993-4517,customer,New,,False,0,0,2024-06-25,2024-06-25,,,DS-201775,DS-201775,2021-03-11,LIVE,1518.97,54,648,Facial,valid,10,Valid,Education; Facial; Hospitality,Pass,DaySmart,DaySmart Only,2026-04-14
Daniel,Alexander,vdixon@example.org,(394) 750-5577,customer,New,,False,0,0,2023-09-29,2023-09-29,,,DS-201776,DS-201776,2015-01-29,ARCHIVE,4806.03,29,1394,Blowout,valid,10,Valid,Blowout; Wellness,Pass,DaySmart,DaySmart Only,2026-04-14
Andrew,Cobb,xvargas@example.com,(562) 943-3916,customer,New,,False,0,0,2024-03-29,2024-03-29,,,DS-201778,DS-201778,2020-01-14,LIVE,1826.49,21,1985,Pedicure,valid,10,Valid,Hospitality; Pedicure; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Renee,Medina,allen94@example.org,(944) 101-0427,customer,New,,False,0,0,2024-01-16,2024-01-16,,,DS-201779,DS-201779,2015-09-02,ARCHIVE,579.89,64,397,Manicure,valid,10,Valid,Beauty; Healthcare; Manicure,Pass,DaySmart,DaySmart Only,2026-04-14
April,Copeland,potterjohn@example.com,(346) 609-5470,customer,New,,False,0,0,2025-04-28,2025-04-28,,,DS-201783,DS-201783,2020-12-30,LIVE,2326.31,24,1734,Manicure,valid,10,Valid,Fitness; Manicure; Wellness,Pass,DaySmart,DaySmart Only,2026-04-14
Mr.,James Williams,ryan18@example.net,(541) 333-6650,customer,New,,False,0,0,2025-04-29,2025-04-29,,,DS-201785,DS-201785,2012-03-23,ARCHIVE,1768.3,80,315,Consultation,valid,10,Valid,Consultation; Fitness; Hospitality,Pass,DaySmart,DaySmart Only,2026-04-14
Andrea,Conway,andrea79@example.org,(578) 290-5249,customer,New,,False,0,0,2024-09-08,2024-09-08,,,DS-201786,DS-201786,2026-03-26,LIVE,656.55,32,764,Blowout,valid,10,Valid,Blowout; Education; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Michael,Santos,ashleylozano@example.com,(814) 140-1385,customer,New,,False,0,0,2025-04-07,2025-04-07,,,DS-201787,DS-201787,2020-09-09,LIVE,4470.23,79,1235,Massage,unknown,4,Valid,Massage; Wellness,Pass,DaySmart,DaySmart Only,2026-04-14
Kayla,Meyer,tcox@example.net,(182) 729-1367,customer,New,,False,0,0,2024-10-10,2024-10-10,,,DS-201789,DS-201789,2020-01-11,LIVE,1957.67,66,1019,Haircut,valid,10,Valid,Haircut; Professional; Wellness,Pass,DaySmart,DaySmart Only,2026-04-14
Jason,Frye,ferrelltammy@example.org,(218) 011-3085,customer,New,,False,0,0,2024-08-19,2024-08-19,,,DS-201790,DS-201790,2020-02-09,LIVE,516.89,20,1320,Color Treatment,valid,10,Valid,Beauty; Color Treatment,Pass,DaySmart,DaySmart Only,2026-04-14
Sierra,Moore,calexander@example.com,(760) 429-3987,customer,New,,False,0,0,2023-04-10,2023-04-10,,,DS-201792,DS-201792,2011-06-21,ARCHIVE,4762.37,20,1883,Massage,valid,10,Valid,Education; Massage,Pass,DaySmart,DaySmart Only,2026-04-14
Robin,Webster,jlevy@example.com,(725) 426-5416,customer,New,,False,0,0,2023-03-26,2023-03-26,,,DS-201794,DS-201794,2025-12-06,LIVE,4503.09,48,496,Massage,catch-all,6,Valid,Course; Massage; Wellness,Pass,DaySmart,DaySmart Only,2026-04-14
Corey,Lambert,kimberlystevens@example.net,(680) 704-2357,customer,New,,False,0,0,2023-03-10,2023-03-10,,,DS-201796,DS-201796,2025-04-08,LIVE,87.49,42,1351,Highlights,valid,10,Valid,Healthcare; Highlights; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Jason,Hopkins,daniel10@example.net,(674) 513-6365,customer,New,,False,0,0,2023-08-31,2023-08-31,,,DS-201800,DS-201800,2016-08-17,ARCHIVE,4028.17,64,123,Highlights,valid,10,Valid,Highlights; Professional; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Darlene,Henry,jandrade@example.org,(342) 678-7032,customer,New,,False,0,0,2024-02-17,2024-02-17,,,DS-201801,DS-201801,2020-11-22,LIVE,3121.29,2,1335,Facial,valid,10,Valid,Facial; Healthcare; Hospitality,Pass,DaySmart,DaySmart Only,2026-04-14
Mary,Scott,kristopheranderson@example.org,(651) 004-6010,customer,New,,False,0,0,2023-10-17,2023-10-17,,,DS-201806,DS-201806,2020-01-11,LIVE,173.77,40,1049,Pedicure,valid,10,Valid,Fitness; Pedicure; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Kimberly,Nguyen,ccortez@example.com,(449) 339-2719,customer,New,,False,0,0,2024-02-24,2024-02-24,,,DS-201811,DS-201811,2022-07-13,LIVE,4875.76,5,1157,Massage,valid,10,Valid,Corporate; Massage,Pass,DaySmart,DaySmart Only,2026-04-14
Francisco,Campbell,colesheila@example.net,(967) 788-8922,customer,New,,False,0,0,2023-09-15,2023-09-15,,,DS-201813,DS-201813,2019-02-02,LIVE,2654.5,15,947,Pedicure,valid,10,Valid,Pedicure; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Anna,Barron,andrea67@example.org,(864) 426-2447,customer,New,,False,0,0,2024-02-18,2024-02-18,,,DS-201815,DS-201815,2014-08-23,ARCHIVE,4375.8,43,1929,Manicure,valid,10,Valid,Education; Manicure; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Brian,Smith,shawsteven@example.org,(332) 570-4430,customer,New,,False,0,0,2025-01-28,2025-01-28,,,DS-201816,DS-201816,2018-10-23,ARCHIVE,1989.7,79,1900,Manicure,valid,10,Valid,Course; Hospitality; Manicure,Pass,DaySmart,DaySmart Only,2026-04-14
Debbie,Skinner,justinjohnson@example.net,(113) 018-6432,customer,New,,False,0,0,2023-10-12,2023-10-12,,,DS-201818,DS-201818,2025-04-18,LIVE,2512.51,7,262,Massage,valid,10,Valid,Beauty; Course; Massage,Pass,DaySmart,DaySmart Only,2026-04-14
Robyn,Davis,martinmichael@example.org,(700) 343-7432,customer,New,,False,0,0,2024-04-11,2024-04-11,,,DS-201819,DS-201819,2015-12-24,ARCHIVE,535.98,32,16,Color Treatment,valid,10,Valid,Beauty; Color Treatment; Wellness,Pass,DaySmart,DaySmart Only,2026-04-14
William,Bauer,jason25@example.org,(231) 154-1119,customer,New,,False,0,0,2023-01-02,2023-01-02,,,DS-201820,DS-201820,2011-04-17,ARCHIVE,4498.2,42,1062,Blowout,valid,10,Valid,Blowout; Healthcare,Pass,DaySmart,DaySmart Only,2026-04-14
Adam,Garcia,nbanks@example.org,(052) 214-4267,customer,New,,False,0,0,2023-03-20,2023-03-20,,,DS-201821,DS-201821,2023-08-18,LIVE,4298.53,75,257,Blowout,unknown,4,Valid,Blowout; Corporate; Course,Pass,DaySmart,DaySmart Only,2026-04-14
Curtis,Baker,lesliecoleman@example.org,(615) 999-4426,customer,New,,False,0,0,2024-08-22,2024-08-22,,,DS-201822,DS-201822,2022-02-13,LIVE,3623.2,9,457,Consultation,valid,10,Valid,Consultation; Fitness; Healthcare,Pass,DaySmart,DaySmart Only,2026-04-14
Justin,Watkins,william35@example.net,(288) 050-7507,customer,New,,False,0,0,2024-03-18,2024-03-18,,,DS-201824,DS-201824,2022-10-13,LIVE,4854.84,72,161,Haircut,valid,10,Valid,Course; Education; Haircut,Pass,DaySmart,DaySmart Only,2026-04-14
Lydia,Hayes,michaelkramer@example.com,(252) 477-7744,customer,New,,False,0,0,2023-09-29,2023-09-29,,,DS-201825,DS-201825,2016-03-13,ARCHIVE,1951.67,42,173,Manicure,unknown,4,Valid,Course; Manicure,Pass,DaySmart,DaySmart Only,2026-04-14
Danielle,Torres,lindsay06@example.org,(698) 826-4862,customer,New,,False,0,0,2024-01-08,2024-01-08,,,DS-201826,DS-201826,2019-07-16,LIVE,804.71,25,1373,Facial,valid,10,Valid,Facial; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Daniel,Ford,kristenochoa@example.net,(546) 091-2104,customer,New,,False,0,0,2024-09-23,2024-09-23,,,DS-201827,DS-201827,2024-02-17,LIVE,3287.0,53,38,Manicure,valid,10,Valid,Education; Fitness; Manicure,Pass,DaySmart,DaySmart Only,2026-04-14
Heather,Gonzalez,wwilliams@example.com,(099) 324-7079,customer,New,,False,0,0,2024-08-02,2024-08-02,,,DS-201828,DS-201828,2025-07-01,LIVE,182.69,70,1620,Consultation,valid,10,Valid,Consultation; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Heather,Jennings,ronaldhartman@example.com,(949) 645-4959,customer,New,,False,0,0,2024-01-16,2024-01-16,,,DS-201830,DS-201830,2019-06-03,LIVE,1157.34,8,1625,Pedicure,valid,10,Valid,Pedicure; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Jerry,Lee,snydermorgan@example.net,(271) 832-2402,customer,New,,False,0,0,2024-10-29,2024-10-29,,,DS-201831,DS-201831,2025-04-09,LIVE,922.25,51,1539,Consultation,valid,10,Valid,Beauty; Consultation; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Beverly,Hughes,rortiz@example.net,(040) 465-5112,customer,New,,False,0,0,2023-11-22,2023-11-22,,,DS-201832,DS-201832,2024-11-01,LIVE,689.52,18,821,Haircut,catch-all,6,Valid,Course; Education; Haircut,Pass,DaySmart,DaySmart Only,2026-04-14
Jennifer,Olson,ian93@example.com,(433) 732-7839,customer,New,,False,0,0,2024-12-22,2024-12-22,,,DS-201834,DS-201834,2019-02-13,LIVE,3056.17,19,711,Consultation,valid,10,Valid,Consultation; Corporate,Pass,DaySmart,DaySmart Only,2026-04-14
Brian,Johnson,adambradley@example.org,(187) 309-5079,customer,New,,False,0,0,2025-03-04,2025-03-04,,,DS-201836,DS-201836,2021-06-06,LIVE,2710.12,6,938,Facial,valid,10,Valid,Beauty; Facial,Pass,DaySmart,DaySmart Only,2026-04-14
Kaitlyn,Thompson,kmiller@example.org,(894) 523-9596,customer,New,,False,0,0,2024-03-08,2024-03-08,,,DS-201838,DS-201838,2015-03-10,ARCHIVE,4127.7,64,847,Blowout,valid,10,Valid,Blowout; Hospitality,Pass,DaySmart,DaySmart Only,2026-04-14
Laurie,Andrews MD,bradley97@example.org,(366) 946-2728,customer,New,,False,0,0,2024-04-03,2024-04-03,,,DS-201841,DS-201841,2013-02-28,ARCHIVE,1260.54,32,384,Facial,valid,10,Valid,Course; Facial; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Randall,Taylor,laura38@example.com,(504) 621-7643,customer,New,,False,0,0,2024-09-29,2024-09-29,,,DS-201842,DS-201842,2019-12-13,LIVE,2300.29,16,1051,Haircut,unknown,4,Valid,Course; Haircut; Healthcare,Pass,DaySmart,DaySmart Only,2026-04-14
Robert,Kim,tiffanyroberts@example.org,(879) 397-8953,customer,New,,False,0,0,2023-12-27,2023-12-27,,,DS-201844,DS-201844,2026-01-21,LIVE,3478.34,14,364,Pedicure,valid,10,Valid,Hospitality; Pedicure; Retail,Pass,DaySmart,DaySmart Only,2026-04-14
Daniel,Bridges,wyang@example.net,(982) 437-8047,customer,New,,False,0,0,2024-09-16,2024-09-16,,,DS-201845,DS-201845,2020-12-19,LIVE,1263.87,50,1141,Blowout,valid,10,Valid,Beauty; Blowout; Corporate,Pass,DaySmart,DaySmart Only,2026-04-14
John,Ward,courtneyking@example.net,(988) 726-3492,customer,New,,False,0,0,2025-04-08,2025-04-08,,,DS-201852,DS-201852,2025-10-12,LIVE,771.53,74,585,Pedicure,catch-all,6,Valid,Course; Pedicure,Pass,DaySmart,DaySmart Only,2026-04-14
James,Coleman,pmcpherson@example.net,(389) 586-4178,customer,New,,False,0,0,2023-09-16,2023-09-16,,,DS-201861,DS-201861,2014-06-24,ARCHIVE,1104.2,56,1348,Keratin Treatment,valid,10,Valid,Beauty; Keratin Treatment,Pass,DaySmart,DaySmart Only,2026-04-14
Melissa,Greene,hamptonsabrina@example.com,(246) 947-6293,customer,New,,False,0,0,2023-02-02,2023-02-02,,,DS-201862,DS-201862,2023-11-22,LIVE,105.2,25,1413,Color Treatment,valid,10,Valid,Color Treatment; Fitness,Pass,DaySmart,DaySmart Only,2026-04-14
Jeffrey,Heath,washingtonbrittany@example.org,(679) 901-0271,customer,New,,False,0,0,2023-02-02,2023-02-02,,,DS-201863,DS-201863,2021-11-02,LIVE,4586.84,63,1163,Manicure,valid,10,Valid,Hospitality; Manicure,Pass,DaySmart,DaySmart Only,2026-04-14
Robin,Sharp,jbarker@example.org,(165) 663-3935,customer,New,,False,0,0,2024-06-03,2024-06-03,,,DS-201865,DS-201865,2011-03-31,ARCHIVE,2122.8,29,42,Haircut,unknown,4,Valid,Haircut; Healthcare,Pass,DaySmart,DaySmart Only,2026-04-14
Hannah,Freeman,alexis93@example.net,(328) 099-9702,customer,New,,False,0,0,2024-02-15,2024-02-15,,,DS-201867,DS-201867,2021-01-05,LIVE,3554.73,31,1915,Highlights,valid,10,Valid,Course; Highlights,Pass,DaySmart,DaySmart Only,2026-04-14
Alexander,Harvey,qwashington@example.net,(235) 327-7376,customer,New,,False,0,0,2024-01-25,2024-01-25,,,DS-201868,DS-201868,2016-11-27,ARCHIVE,317.01,79,815,Keratin Treatment,catch-all,6,Valid,Education; Keratin Treatment,Pass,DaySmart,DaySmart Only,2026-04-14
Jeremy,Alvarez,matthewcollins@example.org,(471) 266-6153,customer,New,,False,0,0,2025-04-06,2025-04-06,,,DS-201869,DS-201869,2012-09-26,ARCHIVE,3054.88,27,789,Highlights,valid,10,Valid,Fitness; Highlights,Pass,DaySmart,DaySmart Only,2026-04-14
Stacey,Gordon,lisa73@example.org,(912) 990-3719,customer,New,,True,0,0,2023-01-11,2023-01-11,,,DS-201871,DS-201871,2020-03-21,LIVE,3325.84,25,1620,Color Treatment,do_not_mail,1,Valid,Color Treatment; Corporate,Do Not Mail,DaySmart,DaySmart Only,2026-04-14
Michael,Cox,fcontreras@example.com,(211) 622-0659,customer,New,,False,0,0,2023-10-25,2023-10-25,,,DS-201872,DS-201872,2011-09-17,ARCHIVE,1759.65,66,382,Highlights,valid,10,Valid,Education; Healthcare; Highlights,Pass,DaySmart,DaySmart Only,2026-04-14
Carmen,Woods,nicholascunningham@example.org,(325) 727-3468,customer,New,,False,0,0,2023-06-28,2023-06-28,,,DS-201883,DS-201883,2021-12-22,LIVE,3321.15,78,1054,Haircut,valid,10,Valid,Education; Haircut,Pass,DaySmart,DaySmart Only,2026-04-14
Phillip,White,burtonjohn@example.org,(523) 133-6314,customer,New,,False,0,0,2024-07-09,2024-07-09,,,DS-201888,DS-201888,2021-05-21,LIVE,527.08,50,1819,Pedicure,valid,10,Valid,Pedicure; Professional,Pass,DaySmart,DaySmart Only,2026-04-14
Aaron,Garcia,beannicholas@example.com,(324) 483-4387,customer,New,,False,0,0,2023-05-03,2023-05-03,,,DS-201890,DS-201890,2019-08-01,LIVE,2371.08,16,848,Haircut,valid,10,Valid,Course; Haircut,Pass,DaySmart,DaySmart Only,2026-04-14
Heather,Gonzalez,kimberly05@example.org,(755) 084-8528,customer,New,,False,0,0,2024-01-15,2024-01-15,,,DS-201896,DS-201896,2023-11-26,LIVE,1141.62,30,12,Color Treatment,valid,10,Valid,Color Treatment; Course; Fitness,Pass,DaySmart,DaySmart Only,2026-04-14
